Date,Tin_measured,Tin_estimated,residual_c,cumulative_gap_c_h
2021-01-01 00:00:00+00:00,22.264759932088097,22.6910041836629,-0.42624425157480444,-10.229862037795307
2021-01-02 00:00:00+00:00,21.621311145147274,22.750852264267564,-1.1295411191202904,-37.33884889668228
2021-01-03 00:00:00+00:00,21.051777690936394,22.812701441259993,-1.7609237503235995,-79.60101890444867
2021-01-04 00:00:00+00:00,21.85751184114389,22.882971890429584,-1.025460049285692,-104.2120600873053
2021-01-05 00:00:00+00:00,21.647212978113462,22.95166970319518,-1.304456725081714,-135.51902148926644
2021-01-06 00:00:00+00:00,21.504086115016417,23.012933968663706,-1.5088478536472916,-171.7313699768015
2021-01-07 00:00:00+00:00,21.016899797883262,23.07670261411741,-2.059802816234144,-221.16663756642097
2021-01-08 00:00:00+00:00,20.3017360316489,23.146872617336786,-2.845136585687887,-289.44991562293035
2021-01-09 00:00:00+00:00,20.30331010314979,23.209712738514472,-2.906402635364683,-359.20357887168274
2021-01-10 00:00:00+00:00,19.997954257669644,23.26771161768315,-3.269757360013504,-437.6777555120069
2021-01-11 00:00:00+00:00,20.11979195469456,23.337251961113306,-3.217460006418747,-514.8967956660568
2021-01-12 00:00:00+00:00,19.87542552013301,23.412563123346626,-3.5371376032136124,-599.7880981431834
2021-01-13 00:00:00+00:00,20.418741176697772,23.49658970307591,-3.0778485263781374,-673.6564627762588
2021-01-14 00:00:00+00:00,20.88395949294595,23.581904181084692,-2.697944688138737,-738.4071352915884
2021-01-15 00:00:00+00:00,20.98150289898233,23.65974815477939,-2.6782452557970573,-802.6850214307176
2021-01-16 00:00:00+00:00,21.50911782307558,23.72422766981121,-2.2151098467356296,-855.8476577523724
2021-01-17 00:00:00+00:00,21.606871001085366,23.783572240520055,-2.1767012394346867,-908.088487498805
2021-01-18 00:00:00+00:00,22.389483068824404,23.84574435637542,-1.4562612875510148,-943.0387584000292
2021-01-19 00:00:00+00:00,22.550861862308263,23.913873072190245,-1.3630112098819858,-975.751027437197
2021-01-20 00:00:00+00:00,22.265345090880142,23.983313978379982,-1.7179688874998422,-1016.9822807371929
2021-01-21 00:00:00+00:00,22.794125667921417,24.060612969958445,-1.26648730203703,-1047.377975986082
2021-01-22 00:00:00+00:00,22.634310962695725,24.1202019926003,-1.4858910299045753,-1083.0393607037918
2021-01-23 00:00:00+00:00,23.350398247938998,24.17698606383121,-0.8265878158922156,-1102.8774682852054
2021-01-24 00:00:00+00:00,23.833563866236744,24.23253180919444,-0.3989679429576987,-1112.4526989161902
2021-01-25 00:00:00+00:00,24.10651648731037,24.290762918262498,-0.18424643095212692,-1116.8746132590413
2021-01-26 00:00:00+00:00,24.597120210324064,24.349792804465576,0.24732740585849097,-1110.9387555184378
2021-01-27 00:00:00+00:00,24.76184296198153,24.402841369020667,0.359001592960865,-1102.3227172873774
2021-01-28 00:00:00+00:00,25.147851977168234,24.447212996221708,0.7006389809465268,-1085.5073817446605
2021-01-29 00:00:00+00:00,25.366474836738647,24.49119345936627,0.8752813773723802,-1064.5006286877235
2021-01-30 00:00:00+00:00,24.413186124704925,24.53398353739085,-0.12079741268592474,-1067.3997665921854
2021-01-31 00:00:00+00:00,24.840203756203664,24.580924708675486,0.2592790475281741,-1061.1770694515087
2021-02-01 00:00:00+00:00,24.80181565034548,24.626980218688143,0.17483543165733803,-1056.981019091733
2021-02-02 00:00:00+00:00,25.4664279321206,24.668802671381584,0.7976252607390125,-1037.8380128339966
2021-02-03 00:00:00+00:00,25.365530772688036,24.715503992967964,0.6500267797200762,-1022.2373701207143
2021-02-04 00:00:00+00:00,25.475988818757585,24.76474536854685,0.7112434502107362,-1005.1675273156568
2021-02-05 00:00:00+00:00,25.38773371748375,24.81584214995904,0.5718915675247125,-991.4421296950638
2021-02-06 00:00:00+00:00,25.276612994225772,24.86130420878023,0.4153087854455408,-981.474718844371
2021-02-07 00:00:00+00:00,24.803621914032608,24.907850002058094,-0.10422808802548363,-983.9761929569825
2021-02-08 00:00:00+00:00,24.691216519487,24.956814207268405,-0.2655976877814048,-990.3505374637359
2021-02-09 00:00:00+00:00,24.440256062842153,25.010642819515866,-0.5703867566737163,-1004.0398196239051
2021-02-10 00:00:00+00:00,24.443225130478712,25.065310278799654,-0.6220851483209375,-1018.9698631836077
2021-02-11 00:00:00+00:00,25.247151602474016,25.11480480924615,0.1323467932278707,-1015.7935401461392
2021-02-12 00:00:00+00:00,25.265451178160177,25.157920888166036,0.10753028999413743,-1013.2128131862801
2021-02-13 00:00:00+00:00,25.203590474537517,25.199667198694044,0.003923275843471963,-1013.118654566037
2021-02-14 00:00:00+00:00,25.644975215737194,25.243322775581444,0.40165244015575025,-1003.4789960022993
2021-02-15 00:00:00+00:00,25.652383472359407,25.288799456649272,0.3635840157101368,-994.7529796252561
2021-02-16 00:00:00+00:00,25.369377518291156,25.339649216754612,0.029728301536540897,-994.0395003883791
2021-02-17 00:00:00+00:00,25.51384289546974,25.389342237463733,0.12450065800600936,-991.0514845962351
2021-02-18 00:00:00+00:00,25.603258508345334,25.436229333307043,0.16702917503828965,-987.0427843953162
2021-02-19 00:00:00+00:00,25.542746989072004,25.48374332395659,0.0590036651154171,-985.6266964325459
2021-02-20 00:00:00+00:00,25.392373446359375,25.530530953221998,-0.13815750686262337,-988.9424765972486
2021-02-21 00:00:00+00:00,25.047709504613866,25.575856950732383,-0.5281474461185115,-1001.6180153040931
2021-02-22 00:00:00+00:00,24.77105688188905,25.626387899362253,-0.8553310174732047,-1022.1459597234499
2021-02-23 00:00:00+00:00,25.03028136312157,25.67796966837413,-0.6476883052525547,-1037.6904790495114
2021-02-24 00:00:00+00:00,24.929556530555747,25.725162418737327,-0.7956058881815818,-1056.7850203658695
2021-02-25 00:00:00+00:00,25.1651455805315,25.770820751169968,-0.6056751706384679,-1071.3212244611925
2021-02-26 00:00:00+00:00,25.047219933763586,25.81449362442268,-0.7672736906590966,-1089.735793037011
