Date,Tin_measured,Tin_estimated,residual_c,segment_id,gap_before,Tout,Qhvac_W_A,tout_train_quantile_regime,regime_bias_c,Tin_estimated_regime_corrected,residual_regime_corrected_c
2021-01-01 00:00:00+00:00,22.662610514084736,22.662610514084736,0.0,0,False,3.2898199507575754,4126.548336514085,cold,-1.9697722199045593,20.692838294180177,1.9697722199045593
2021-01-01 01:00:00+00:00,22.61566774440583,22.665070904947363,-0.04940316054153371,0,False,2.734135480769231,4172.061836587044,cold,-1.9697722199045593,20.695298685042804,1.9203690593630256
2021-01-01 02:00:00+00:00,22.58750320680816,22.667558432321364,-0.08005522551320254,0,False,3.1948624465408804,4129.502586944128,cold,-1.9697722199045593,20.697786212416805,1.8897169943913568
2021-01-01 03:00:00+00:00,22.50274606172404,22.670020584557395,-0.1672745228333561,0,False,3.5753701633986927,4103.997524653907,cold,-1.9697722199045593,20.700248364652836,1.8024976970712032
2021-01-01 04:00:00+00:00,22.440386652814745,22.672467529951817,-0.23208087713707215,0,False,4.587171534013605,4084.639212657979,cold,-1.9697722199045593,20.702695310047257,1.7376913427674872
2021-01-01 05:00:00+00:00,21.89879550304792,22.674902933815602,-0.7761074307676807,0,False,5.483776274509804,4121.3684738680295,cold,-1.9697722199045593,20.705130713911043,1.1936647891368786
2021-01-01 06:00:00+00:00,21.866257873927157,22.67736023759112,-0.8111023636639629,0,False,6.728872385620916,4194.14490479098,cold,-1.9697722199045593,20.70758801768656,1.1586698562405964
2021-01-01 07:00:00+00:00,22.27298962344035,22.67986093416613,-0.40687131072578,0,False,6.224272798742138,4227.854718401899,cold,-1.9697722199045593,20.71008871426157,1.5629009091787793
2021-01-01 08:00:00+00:00,22.33904215439788,22.68238172948365,-0.3433395750857713,0,False,6.729848913333334,4151.298460145563,cold,-1.9697722199045593,20.712609509579092,1.626432644818788
2021-01-01 09:00:00+00:00,22.28057331382581,22.68485687940009,-0.404283565574282,0,False,8.917054813333333,3902.404923000971,cold,-1.9697722199045593,20.71508465949553,1.5654886543302773
2021-01-01 10:00:00+00:00,21.6790027695149,22.687183631004753,-1.0081808614898549,0,False,11.820493503267976,4026.782350818916,cold,-1.9697722199045593,20.717411411100194,0.9615913584147044
2021-01-01 11:00:00+00:00,21.66723538514022,22.689584542876656,-1.0223491577364356,0,False,12.559788806666669,4151.547630877994,cold,-1.9697722199045593,20.719812322972096,0.9474230621681237
2021-01-01 12:00:00+00:00,21.41100555896724,22.69205984493743,-1.281054285970189,0,False,12.868585731292518,4158.676535550905,cold,-1.9697722199045593,20.72228762503287,0.6887179339343703
