Date,Tin_measured,Tin_estimated,residual_c,segment_id,gap_before,Tout,Qhvac_W_A,tout_train_quantile_regime
2021-01-01 00:00:00+00:00,22.662610514084736,22.662610514084736,0.0,0,False,3.2898199507575754,4126.548336514085,cold
2021-01-01 01:00:00+00:00,22.61566774440583,22.665070904947363,-0.04940316054153371,0,False,2.734135480769231,4172.061836587044,cold
2021-01-01 02:00:00+00:00,22.58750320680816,22.667558432321364,-0.08005522551320254,0,False,3.1948624465408804,4129.502586944128,cold
2021-01-01 03:00:00+00:00,22.50274606172404,22.670020584557395,-0.1672745228333561,0,False,3.5753701633986927,4103.997524653907,cold
2021-01-01 04:00:00+00:00,22.440386652814745,22.672467529951817,-0.23208087713707215,0,False,4.587171534013605,4084.639212657979,cold
2021-01-01 05:00:00+00:00,21.89879550304792,22.674902933815602,-0.7761074307676807,0,False,5.483776274509804,4121.3684738680295,cold
2021-01-01 06:00:00+00:00,21.866257873927157,22.67736023759112,-0.8111023636639629,0,False,6.728872385620916,4194.14490479098,cold
2021-01-01 07:00:00+00:00,22.27298962344035,22.67986093416613,-0.40687131072578,0,False,6.224272798742138,4227.854718401899,cold
2021-01-01 08:00:00+00:00,22.33904215439788,22.68238172948365,-0.3433395750857713,0,False,6.729848913333334,4151.298460145563,cold
2021-01-01 09:00:00+00:00,22.28057331382581,22.68485687940009,-0.404283565574282,0,False,8.917054813333333,3902.404923000971,cold
2021-01-01 10:00:00+00:00,21.6790027695149,22.687183631004753,-1.0081808614898549,0,False,11.820493503267976,4026.782350818916,cold
2021-01-01 11:00:00+00:00,21.66723538514022,22.689584542876656,-1.0223491577364356,0,False,12.559788806666669,4151.547630877994,cold
2021-01-01 12:00:00+00:00,21.41100555896724,22.69205984493743,-1.281054285970189,0,False,12.868585731292518,4158.676535550905,cold
2021-01-01 13:00:00+00:00,21.727894713429205,22.69453939770665,-0.9666446842774441,0,False,13.710946407051283,4064.635589174528,cold
2021-01-01 14:00:00+00:00,21.827785847465677,22.696962880255505,-0.8691770327898283,0,False,13.803269855769232,3977.832599191943,cold
2021-01-01 15:00:00+00:00,22.522080133927165,22.69933460766382,-0.17725447373665304,0,False,13.079187814465408,4023.6960708856423,cold
2021-01-01 16:00:00+00:00,22.66333099820839,22.701733680146244,-0.038402681937853345,0,False,11.740648817610062,4360.57915817677,cold
2021-01-01 17:00:00+00:00,22.701503372068352,22.70433361412659,-0.0028302420582377863,0,False,10.698313103773586,4483.774380224907,cold
2021-01-01 18:00:00+00:00,22.68610391108643,22.707007001073038,-0.02090308998660717,0,False,9.328345993710691,4545.543598936191,cold
2021-01-01 19:00:00+00:00,22.296912761827063,22.70971721629885,-0.41280445447178593,0,False,6.860795393081761,4154.619496104631,cold
2021-01-01 20:00:00+00:00,22.519516104266035,22.712194346405088,-0.1926782421390527,0,False,6.049740616352201,4402.312381955862,cold
2021-01-01 21:00:00+00:00,22.529147097620253,22.714819159792718,-0.1856720621724648,0,False,5.896199245614035,4213.300339591857,cold
2021-01-01 22:00:00+00:00,22.34726072235937,22.717331277020964,-0.370070554661595,0,False,4.998583395061729,4214.707081932579,cold
2021-01-01 23:00:00+00:00,22.30888634575738,22.71984423244838,-0.4109578866910013,0,False,3.095614724242425,4203.16833062225,cold
2021-01-02 00:00:00+00:00,22.3387952042596,22.722350306868464,-0.38355510260886305,0,False,2.1235958505050507,4035.8043830623737,cold
2021-01-02 01:00:00+00:00,22.31439319032634,22.724756592031532,-0.4103634017051938,0,False,1.970063602339181,4162.619993837111,cold
2021-01-02 02:00:00+00:00,22.14139314996773,22.72723848931864,-0.5858453393509109,0,False,1.7567605576923075,4055.0105567944,cold
2021-01-02 03:00:00+00:00,22.062336791127457,22.729656225693784,-0.6673194345663269,0,False,2.6125869454545456,4052.114237032473,cold
2021-01-02 04:00:00+00:00,21.95750008231991,22.732072235699153,-0.7745721533792427,0,False,1.826776357142857,4057.214705311376,cold
2021-01-02 05:00:00+00:00,22.04684518304457,22.734491286310316,-0.6876461032657453,0,False,2.277481988505747,4258.494789952549,cold
2021-01-02 06:00:00+00:00,21.922513451388404,22.737030347927025,-0.8145168965386205,0,False,1.3879816785714283,4221.22212085633,cold
2021-01-02 07:00:00+00:00,21.942454688109223,22.739547185633167,-0.7970924975239448,0,False,1.1076843947368422,4232.440609569455,cold
2021-01-02 08:00:00+00:00,21.837677211215127,22.742070712048864,-0.9043935008337378,0,False,3.681566477987421,4212.266396280748,cold
2021-01-02 09:00:00+00:00,21.91576651888013,22.744582211423204,-0.8288156925430741,0,False,8.150809298742137,4042.596065746616,cold
2021-01-02 10:00:00+00:00,21.706236924302367,22.746992549733463,-1.0407556254310961,0,False,10.147788632075471,4053.512587068222,cold
2021-01-02 11:00:00+00:00,21.81692962956345,22.749409398108977,-0.9324797685455266,0,False,10.985483196428572,4463.785967403024,cold
2021-01-02 12:00:00+00:00,21.873140411619257,22.752070867363408,-0.8789304557441504,0,False,12.17189800892857,4413.856852730993,cold
2021-01-02 13:00:00+00:00,21.755844133042352,22.75470256773613,-0.9988584346937763,0,False,12.30447530448718,4132.060538804391,cold
2021-01-02 14:00:00+00:00,21.659670689737776,22.7571662506653,-1.0974955609275234,0,False,11.80067949691358,4045.922465356527,cold
2021-01-02 15:00:00+00:00,21.070918498468654,22.759578574535613,-1.6886600760669594,0,False,10.519193797619048,3972.38132118996,cold
2021-01-02 16:00:00+00:00,21.29070273274339,22.761947049630376,-1.4712443168869846,0,False,10.196541620915031,4080.607611415928,cold
2021-01-02 17:00:00+00:00,20.997291811942123,22.76438005309564,-1.767088241153516,0,False,9.530176929012349,4099.041375824744,cold
2021-01-02 18:00:00+00:00,20.97604042783259,22.76682404705097,-1.7907836192183808,0,False,8.914994663522013,4427.140075875906,cold
2021-01-02 19:00:00+00:00,21.1221494316624,22.769463665367972,-1.647314233705572,0,False,8.101481895061728,4115.096772006012,cold
2021-01-02 20:00:00+00:00,20.857009851364865,22.771917231270844,-1.91490737990598,0,False,7.405282389937106,4170.957482870038,cold
2021-01-02 21:00:00+00:00,21.446623484902023,22.77440410299358,-1.3277806180915555,0,False,6.353480944444445,4395.518422214416,cold
2021-01-02 22:00:00+00:00,20.943039584286,22.777024865716267,-1.833985281430266,0,False,6.503714,4396.576456568826,cold
2021-01-02 23:00:00+00:00,20.916194401428854,22.779646259369432,-1.8634518579405785,0,False,6.005448765909091,4410.830044541239,cold
2021-01-03 00:00:00+00:00,20.64062850961464,22.782276151238026,-2.1416476416233863,0,False,6.551395046296296,4356.227968966701,cold
2021-01-03 01:00:00+00:00,20.017809647433136,22.784873487636798,-2.7670638402036616,0,False,6.45132849404762,4360.378514602672,cold
2021-01-03 02:00:00+00:00,19.982088103993405,22.787473298683317,-2.8053851946899115,0,False,6.47573832051282,4350.606676101673,cold
2021-01-03 03:00:00+00:00,20.187461545619183,22.790067283406906,-2.602605737787723,0,False,6.353751315789474,4414.0451676281045,cold
2021-01-03 04:00:00+00:00,20.240139292724063,22.792699092460087,-2.5525597997360236,0,False,6.081558704678362,4492.376808376705,cold
2021-01-03 05:00:00+00:00,20.18960392007472,22.795377605604227,-2.605773685529506,0,False,6.076857727272727,4442.155310965792,cold
2021-01-03 06:00:00+00:00,20.5514988321056,22.79802617480489,-2.246527342699288,0,False,6.150393778787879,4381.264709748937,cold
2021-01-03 07:00:00+00:00,20.56923625649771,22.800638438790642,-2.231402182292932,0,False,5.842257339285714,4537.073680694894,cold
