Date,Tin_measured,Tin_estimated,residual_c,cumulative_gap_c_h
2021-01-01 00:00:00+00:00,22.264759932088097,22.69020409242535,-0.4254441603372536,-10.210659848094085
2021-01-02 00:00:00+00:00,21.621311145147274,22.748234756176164,-1.1269236110288898,-37.25682651278744
2021-01-03 00:00:00+00:00,21.051777690936394,22.80988498225142,-1.7581072913150255,-79.45140150434807
2021-01-04 00:00:00+00:00,21.85751184114389,22.87964226929964,-1.022130428155751,-103.9825317800861
2021-01-05 00:00:00+00:00,21.647212978113462,22.94791022173577,-1.3006972436223092,-135.19926562702153
2021-01-06 00:00:00+00:00,21.504086115016417,23.006812876171537,-1.502726761155122,-171.26470789474448
2021-01-07 00:00:00+00:00,21.016899797883262,23.069783642353325,-2.05288384447006,-220.53392016202596
2021-01-08 00:00:00+00:00,20.3017360316489,23.13834850256662,-2.8366124709177196,-288.6126194640512
2021-01-09 00:00:00+00:00,20.30331010314979,23.198921572415326,-2.8956114692655333,-358.107294726424
2021-01-10 00:00:00+00:00,19.997954257669644,23.253836472966285,-3.2558822152966367,-436.2484678935433
2021-01-11 00:00:00+00:00,20.11979195469456,23.3231418810235,-3.20334992632894,-513.1288661254379
2021-01-12 00:00:00+00:00,19.87542552013301,23.399849653699263,-3.5244241335662543,-597.7150453310278
2021-01-13 00:00:00+00:00,20.418741176697772,23.487802314657344,-3.069061137959571,-671.3725126420575
2021-01-14 00:00:00+00:00,20.88395949294595,23.57762249534198,-2.693663002396026,-736.020424699562
2021-01-15 00:00:00+00:00,20.98150289898233,23.661110977181437,-2.679608078199107,-800.3310185763404
2021-01-16 00:00:00+00:00,21.50911782307558,23.727588716573493,-2.218470893497914,-853.5743200202902
2021-01-17 00:00:00+00:00,21.606871001085366,23.786109725612434,-2.179238724527066,-905.8760494089397
2021-01-18 00:00:00+00:00,22.389483068824404,23.850274094121087,-1.4607910252966814,-940.93503401606
2021-01-19 00:00:00+00:00,22.550861862308263,23.92076333263442,-1.369901470326158,-973.8126693038876
2021-01-20 00:00:00+00:00,22.265345090880142,23.991550802304882,-1.7262057114247404,-1015.2416063780812
2021-01-21 00:00:00+00:00,22.794125667921417,24.072720461966288,-1.2785947940448683,-1045.9278814351585
