Date,Tin,Tout,Qhvac_W_A
2021-01-01T00:00:00+0000,22.662610514084736,3.2898199507575754,4126.548336514085
2021-01-01T01:00:00+0000,22.61566774440583,2.734135480769231,4172.061836587044
2021-01-01T02:00:00+0000,22.587503206808158,3.1948624465408804,4129.502586944128
2021-01-01T03:00:00+0000,22.50274606172404,3.5753701633986927,4103.997524653907
2021-01-01T04:00:00+0000,22.440386652814745,4.5871715340136054,4084.639212657979
2021-01-01T05:00:00+0000,21.89879550304792,5.483776274509804,4121.3684738680295
2021-01-01T06:00:00+0000,21.866257873927154,6.728872385620916,4194.14490479098
2021-01-01T07:00:00+0000,22.27298962344035,6.224272798742138,4227.854718401899
2021-01-01T08:00:00+0000,22.33904215439788,6.729848913333334,4151.298460145563
2021-01-01T09:00:00+0000,22.280573313825812,8.917054813333333,3902.404923000971
2021-01-01T10:00:00+0000,21.6790027695149,11.820493503267976,4026.7823508189163
2021-01-01T11:00:00+0000,21.66723538514022,12.559788806666667,4151.547630877994
2021-01-01T12:00:00+0000,21.411005558967236,12.868585731292518,4158.676535550905
2021-01-01T13:00:00+0000,21.727894713429205,13.710946407051283,4064.6355891745284
2021-01-01T14:00:00+0000,21.827785847465673,13.803269855769232,3977.832599191943
2021-01-01T15:00:00+0000,22.522080133927165,13.079187814465408,4023.6960708856427
2021-01-01T16:00:00+0000,22.66333099820839,11.740648817610062,4360.57915817677
2021-01-01T17:00:00+0000,22.701503372068352,10.698313103773586,4483.774380224907
2021-01-01T18:00:00+0000,22.68610391108643,9.328345993710691,4545.543598936191
2021-01-01T19:00:00+0000,22.296912761827066,6.860795393081761,4154.619496104631
2021-01-01T20:00:00+0000,22.519516104266035,6.049740616352201,4402.312381955862
2021-01-01T21:00:00+0000,22.529147097620253,5.896199245614035,4213.300339591857
2021-01-01T22:00:00+0000,22.34726072235937,4.998583395061729,4214.707081932579
2021-01-01T23:00:00+0000,22.30888634575738,3.0956147242424246,4203.16833062225
2021-01-02T00:00:00+0000,22.3387952042596,2.1235958505050507,4035.8043830623737
2021-01-02T01:00:00+0000,22.31439319032634,1.970063602339181,4162.619993837111
2021-01-02T02:00:00+0000,22.14139314996773,1.7567605576923075,4055.0105567944
2021-01-02T03:00:00+0000,22.062336791127457,2.6125869454545456,4052.114237032473
2021-01-02T04:00:00+0000,21.95750008231991,1.826776357142857,4057.2147053113754
2021-01-02T05:00:00+0000,22.04684518304457,2.277481988505747,4258.494789952549
2021-01-02T06:00:00+0000,21.922513451388404,1.3879816785714285,4221.22212085633
2021-01-02T07:00:00+0000,21.942454688109223,1.1076843947368422,4232.440609569455
2021-01-02T08:00:00+0000,21.837677211215127,3.6815664779874213,4212.266396280748
2021-01-02T09:00:00+0000,21.91576651888013,8.150809298742137,4042.5960657466157
2021-01-02T10:00:00+0000,21.706236924302367,10.147788632075471,4053.512587068222
2021-01-02T11:00:00+0000,21.816929629563454,10.985483196428572,4463.785967403024
2021-01-02T12:00:00+0000,21.873140411619257,12.17189800892857,4413.856852730993
2021-01-02T13:00:00+0000,21.755844133042352,12.304475304487179,4132.0605388043905
2021-01-02T14:00:00+0000,21.659670689737776,11.800679496913581,4045.9224653565266
2021-01-02T15:00:00+0000,21.070918498468654,10.519193797619048,3972.38132118996
2021-01-02T16:00:00+0000,21.29070273274339,10.196541620915033,4080.6076114159277
2021-01-02T17:00:00+0000,20.997291811942123,9.530176929012347,4099.041375824744
2021-01-02T18:00:00+0000,20.97604042783259,8.914994663522013,4427.140075875906
2021-01-02T19:00:00+0000,21.122149431662397,8.101481895061728,4115.096772006012
2021-01-02T20:00:00+0000,20.857009851364865,7.405282389937106,4170.957482870038
2021-01-02T21:00:00+0000,21.446623484902023,6.353480944444445,4395.518422214416
2021-01-02T22:00:00+0000,20.943039584285998,6.503714,4396.576456568826
2021-01-02T23:00:00+0000,20.916194401428854,6.005448765909091,4410.830044541239
2021-01-03T00:00:00+0000,20.64062850961464,6.551395046296296,4356.227968966701
2021-01-03T01:00:00+0000,20.017809647433136,6.45132849404762,4360.378514602672
2021-01-03T02:00:00+0000,19.982088103993405,6.47573832051282,4350.606676101673
2021-01-03T03:00:00+0000,20.187461545619186,6.353751315789474,4414.0451676281045
2021-01-03T04:00:00+0000,20.240139292724063,6.081558704678362,4492.376808376705
2021-01-03T05:00:00+0000,20.189603920074717,6.076857727272727,4442.155310965792
2021-01-03T06:00:00+0000,20.551498832105597,6.150393778787879,4381.264709748937
2021-01-03T07:00:00+0000,20.56923625649771,5.842257339285714,4537.073680694894
2021-01-03T08:00:00+0000,20.816726169946055,7.123758518867924,4508.9520404439945
2021-01-03T09:00:00+0000,20.310995216626186,9.713352273809523,4402.638439695737
2021-01-03T10:00:00+0000,20.41286508188685,10.879790284482759,4389.070944437677
2021-01-03T11:00:00+0000,20.547673202395153,12.155978000000001,4489.6646386344155
2021-01-03T12:00:00+0000,20.887470904805575,13.053142813888888,4457.76324317211
2021-01-03T13:00:00+0000,21.367971220977616,13.50368311111111,4260.125108922061
2021-01-03T14:00:00+0000,21.262450109809937,13.362909058479532,4283.1559560086225
2021-01-03T15:00:00+0000,21.91865790478595,13.058222924242424,4370.362972208291
2021-01-03T16:00:00+0000,22.140285183649944,11.447655901639344,4621.0826806045625
2021-01-03T17:00:00+0000,22.24467282529938,8.332207845679013,4683.6694664231545
2021-01-03T18:00:00+0000,22.064432577881146,6.872031264367816,4649.018933671344
2021-01-03T19:00:00+0000,21.96626004870226,5.34402816060606,4507.425147824304
2021-01-03T20:00:00+0000,21.921781969003817,4.382490448275862,4324.632662644837
2021-01-03T21:00:00+0000,21.90801980542774,2.325331600628931,4415.409748513493
2021-01-03T22:00:00+0000,21.62359879245358,1.9684975175438597,4413.906616191377
2021-01-03T23:00:00+0000,21.47033746075978,1.4301896578947368,4296.92727803622
2021-01-04T00:00:00+0000,21.46093726570626,0.3982044736842105,4326.926029619418
2021-01-04T01:00:00+0000,21.495946212360636,-0.618254701754386,4590.391195969732
2021-01-04T02:00:00+0000,21.438981968809518,-0.9067671279761905,4531.070289206843
2021-01-04T03:00:00+0000,21.311338905262023,0.050081360215053744,4399.4172696731475
2021-01-04T04:00:00+0000,21.264163633917466,-1.7269276130952382,4446.395210926396
2021-01-04T05:00:00+0000,21.04959114770549,-1.3160238779761906,7371.509701375634
2021-01-04T06:00:00+0000,21.06537624812082,-1.6004079107142857,7069.398636184315
2021-01-04T07:00:00+0000,21.170208654922693,-0.4903937797619048,7020.950387962292
2021-01-04T08:00:00+0000,21.128055767937315,1.1366596916666665,8021.580261727018
