model,model_index,start_id,start_kind,start_seed,initial_parameters_log,final_parameters_log,fit_success,fit_status,fit_message,nfev,nit,train_mse,train_rmse,validation_rmse,validation_bic,test_rmse,error,selected_by_train_mse,selection_reason
LADDER_1R1C,0,16,log_uniform_within_published_bounds,3910017654.0,"[2.359442672931859,23.732032459380484,-11.268763520397002]","[2.359442671862378,23.732032458167104,-11.268763520254188]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,80,1,43.30064113011934,6.58032226643341,4.262012444676217,4266.7097591857355,0.6330875924955343,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,17,log_uniform_within_published_bounds,938216706.0,"[-9.425533818876678,18.43159668320527,-0.7368885491006125]","[4.999999991738509,20.67514882993212,-1.846010081131965]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,184,27,3.258547609162087,1.8051447612759723,5.006746908986073,4738.249317291531,0.8495087115639091,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,18,log_uniform_within_published_bounds,1609713692.0,"[-1.1708785317534325,13.481684758651209,-12.106205507790648]","[4.999931022254301,21.148639939179763,-1.3725883615189418]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,268,36,3.258510325264579,1.8051344341252202,5.0068056641187315,4738.283677729981,0.8494976213014009,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,19,log_uniform_within_published_bounds,2054222707.0,"[-1.1717167324535431,19.001332636155663,-18.733075872362548]","[4.999999933576401,24.999999935438613,-18.733048871517884]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,2,43.296884650062054,6.580036827409255,4.262192524801136,4266.833471510282,0.6330601566724221,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,20,log_uniform_within_published_bounds,785903155.0,"[3.2230654496012487,18.768543329055834,-18.504151780800036]","[5.0,21.11330961496078,-18.503873129835142]",False,2,ABNORMAL: ,188,6,43.30085322097365,6.580338381950707,4.262013682371173,4266.710609481308,0.633088270211619,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,21,log_uniform_within_published_bounds,1125918028.0,"[-4.207663808705629,19.401477993902738,-5.429890568609109]","[4.675881338997455,22.68855927769965,0.16727097322847156]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,336,31,3.2584670104009876,1.8051224364017493,5.006889354270403,4738.332619656742,0.8494978810327386,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,22,log_uniform_within_published_bounds,476107423.0,"[-6.091786027112603,19.063987738868956,-0.7858197268495815]","[4.254509926509665,21.876336212365278,-0.6446322716270754]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,224,28,3.258514043307125,1.8051354639769075,5.006996599457027,4738.395335351308,0.8496622479603096,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,23,log_uniform_within_published_bounds,7417521.0,"[-2.895964457127799,8.036903517432126,-9.58263613707848]","[5.0,20.703502867115976,-1.8174973190069514]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,276,41,3.2585460670488477,1.8051443341319962,5.006873750750405,4738.3234947940755,0.8496123373833887,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,24,log_uniform_within_published_bounds,687162828.0,"[1.71118813300561,19.01264016802617,-17.452314236032038]","[4.999999917159508,24.99999994725317,-17.388477542425832]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,116,8,43.29688451069419,6.580036816819051,4.262192526092057,4266.833472397107,0.6330601560664164,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,25,log_uniform_within_published_bounds,2910466702.0,"[-4.499028628118913,15.637175380351936,-5.805656246466302]","[4.880842560433276,20.100233143054297,-2.4208348652722944]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,176,26,3.258646707277655,1.8051722098674283,5.006521006787749,4738.1172042506405,0.8494786363188535,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,26,log_uniform_within_published_bounds,3234892661.0,"[4.758737349754313,19.7108353978058,-10.56942664771192]","[5.0,19.95020505638737,-2.5708320559150417]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,208,20,3.258652857944603,1.805173913489945,5.00652569279516,4738.119944801067,0.8494928146523792,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,27,log_uniform_within_published_bounds,4092916733.0,"[-6.153781166091342,23.272440262869974,-15.612311401544064]","[4.999999886736156,24.99999998245703,-15.612311401544064]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48,2,43.29688358570258,6.580036746531328,4.2621925346596345,4266.833478282779,0.6330601520444378,,False,higher_train_mse_or_later_train_mse_tie
